Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
47ADTs3zTdtYgBrpRjfGqoN9vyvvAJrv7KjJoTPtuXokyTdiwLPk44oVANZ1MmREb6oemggPHkd31FryRZJCPbRF,1777021808,2026-04-24T09:10:08.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,30000000,out,2.5524,9,So11111111111111111111111111111111111111112,1.0
47ADTs3zTdtYgBrpRjfGqoN9vyvvAJrv7KjJoTPtuXokyTdiwLPk44oVANZ1MmREb6oemggPHkd31FryRZJCPbRF,1777021808,2026-04-24T09:10:08.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,30000000,out,2.5525,9,SOL,1.0
47ADTs3zTdtYgBrpRjfGqoN9vyvvAJrv7KjJoTPtuXokyTdiwLPk44oVANZ1MmREb6oemggPHkd31FryRZJCPbRF,1777021808,2026-04-24T09:10:08.000Z,CREATE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,2039280,out,0.1735,9,SOL,1.0
47ADTs3zTdtYgBrpRjfGqoN9vyvvAJrv7KjJoTPtuXokyTdiwLPk44oVANZ1MmREb6oemggPHkd31FryRZJCPbRF,1777021808,2026-04-24T09:10:08.000Z,CREATE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,Fo7U8Ctj3D4Vv1X6VSCWJUNsfTyqEQdFvd6DsgfiDRND,2039280,out,0.1735,9,SOL,1.0
3pc2tMpbNvfHrKuqNq6uTKS3bGTWBqspidFd6gtsFzbfpGNm2v7qF4tAJBLTohifJrUU3iiMHnsoLYscJXBTiAoK,1777021656,2026-04-24T09:07:36.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1738,9,SOL,1.0
3pc2tMpbNvfHrKuqNq6uTKS3bGTWBqspidFd6gtsFzbfpGNm2v7qF4tAJBLTohifJrUU3iiMHnsoLYscJXBTiAoK,1777021656,2026-04-24T09:07:36.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,4617836476,out,1.1174,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
hVABzv1pRVyrKxSL7w21Nv6Yfda2k7R8C4kneo6TTta7bhaqGkcAaKKMTc4wzADVFdEQMWdGdv8C3t2KkK8gVok,1777021292,2026-04-24T09:01:32.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1741,9,SOL,1.0
hVABzv1pRVyrKxSL7w21Nv6Yfda2k7R8C4kneo6TTta7bhaqGkcAaKKMTc4wzADVFdEQMWdGdv8C3t2KkK8gVok,1777021292,2026-04-24T09:01:32.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1741,9,SOL,1.0
hVABzv1pRVyrKxSL7w21Nv6Yfda2k7R8C4kneo6TTta7bhaqGkcAaKKMTc4wzADVFdEQMWdGdv8C3t2KkK8gVok,1777021292,2026-04-24T09:01:32.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1741,9,SOL,1.0
54QJQeZH9VTi2HMBBdDv8wB2gHpmeCgxadGU1GMqWwnmBeWHf54g1AYBBTwxg9tjHbQDn2nQdaMsfxmzMyMfMmyj,1777021279,2026-04-24T09:01:19.000Z,TRANSFER,54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,52530391,in,4.4871,9,SOL,1.0
