Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
5gbMfsUvh5c3oJqPQFQoCDHCtugvL8zSQu7Mayif7tH7PH2MuJvrUKR1efiRCnhTBjrGEmTAnoeV5LaVh9scPWzn,1777012227,2026-04-24T06:30:27.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1748,9,SOL,1.0
5gbMfsUvh5c3oJqPQFQoCDHCtugvL8zSQu7Mayif7tH7PH2MuJvrUKR1efiRCnhTBjrGEmTAnoeV5LaVh9scPWzn,1777012227,2026-04-24T06:30:27.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,23613777504,out,2.9616,6,9kbtMAeoGTPXM6qxgMThQoHh8DqboDwhbqGbhY6fNGiT,1.0
5NCfH71WiwtEAAYWj2RYTjAuDsuNP6rPjydnRJtS1WkKqNBbjueiR2tvKwTmiaz6nXnrdeBEMvwzsvmWkAnfGuPa,1777012225,2026-04-24T06:30:25.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1748,9,SOL,1.0
5NCfH71WiwtEAAYWj2RYTjAuDsuNP6rPjydnRJtS1WkKqNBbjueiR2tvKwTmiaz6nXnrdeBEMvwzsvmWkAnfGuPa,1777012225,2026-04-24T06:30:25.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,17571045246,out,9501.9,6,76YDpEn4AEnk7NQGffJWZuALZxbckeqwShzzEEstuD7h,1.0
quxC8EbZCibCwa8medmyj4Aqe6QXeSbjetKH6b2hUpsdciruWvMM83zT1LikmwgkrLMtLcYo3o9pY3oDx9C5sqB,1777012222,2026-04-24T06:30:22.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1748,9,SOL,1.0
quxC8EbZCibCwa8medmyj4Aqe6QXeSbjetKH6b2hUpsdciruWvMM83zT1LikmwgkrLMtLcYo3o9pY3oDx9C5sqB,1777012222,2026-04-24T06:30:22.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,34888474433,out,16062,6,9Vb8mRM1xBajHAYFFDwHdi9iEGSYhogTD8fTecLFo6f9,1.0
5rMDCEkzxKaEuGT4JLtmpDofjTwcVdHAi3Gjs2PipasztPiCXK3FE1tm6gXyqG4m2E4aN4TiMmhMCQ3VU6XDCc1i,1777011991,2026-04-24T06:26:31.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2MFoS3MPtvyQ4Wh4M9pdfPjz6UhVoNbFbGJAskCPCj3h,29294215207,out,2.3745,6,Dg5r6aevAV14uMZQueN8sKme3S2FPE3nJqXQKPnRRQED,1.0
4fAm4yfjMQZJmjL4srLNSMz87BnB3yYk4xWA5iJHm1NMTAZBft5tDDc3RpQg7xnHsy8RNyNwNkC3thr8rb5TGAnX,1777011681,2026-04-24T06:21:21.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,DfXygSm4jCyNCybVYYK6DwvWqjKee8pbDmJGcLWNDXjh,70000,out,0.005997,9,SOL,1.0
pB5o7iVvc7HXfLa67pLVt6i5hJAupfGjymzGCL7Lky8V4WWywD8qntYwaEdevjGHkrSbmSqr1Xj47H4bLawBiJS,1777011681,2026-04-24T06:21:21.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,23606908,out,2.0223,9,SOL,1.0
pB5o7iVvc7HXfLa67pLVt6i5hJAupfGjymzGCL7Lky8V4WWywD8qntYwaEdevjGHkrSbmSqr1Xj47H4bLawBiJS,1777011681,2026-04-24T06:21:21.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,11591998,out,0.000921,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
